POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,DBB,DOB,P,CUS_1,CUS_2,CUS_3,CUS_4,CUS_5,OC_1,OC_2,OC_3,OC_4,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
722388.75887,4365875.53671,0.0,0.6121665037474955,0.0677775275838775,0.2073391706963196,0.3938653577586598,0.6258090020540802,0.0,0.0174756803413729,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722396.496689,4365875.5441,0.0,0.6099963382693326,1.0,0.2047548669092739,0.3921271745951084,0.6200165455767178,0.7915900313769199,0.0273919518087634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722404.234511,4365875.55142,0.0,0.6093619351788018,1.0,0.2021694078523153,0.3903590170458287,0.6142233810400117,0.7858274334460185,0.0395539567658016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722411.972408,4365875.55883,0.0,0.6093619351788018,1.0,0.1995851040652697,0.3885586328917827,0.6098795697264979,0.7801004842063721,0.0395539567658016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722419.710229,4365875.56625,8.36453804348863e-05,0.6090614820775423,1.0,0.0483063423626808,0.3867271151216213,0.6040871575028446,0.7744161225759866,0.0521741131425803,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722427.448051,4365875.57367,0.0004642625691519,0.6093619351788018,1.0,0.0483063423626808,0.3848634038675618,0.5982947010254823,0.7744161225759866,0.0553117143805981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722435.185952,4365875.58102,0.0010105261704995,0.6098961660086869,1.0,0.0477906718833637,0.3829674328878679,0.5925022445481201,0.7687885733367739,0.0537357061081092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722442.923775,4365875.58846,0.0015613086845085,0.6089946793435523,1.0,0.0472726383519521,0.3810403282920584,0.5867105403838107,0.7632321480071211,0.0587252838417436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722450.661675,4365875.5959,0.0021209301300685,0.6089946793435523,1.0,0.0467510689944433,0.3790810302123508,0.5809187919657922,0.75776089789599,0.0587252838417436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722458.399499,4365875.60335,0.0026920699534997,0.593669660795705,1.0,0.0462259988190166,0.3770883794183579,0.5751270878014828,0.0,0.0733774477712334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722466.137323,4365875.61081,0.0016967505264571,0.5757737877271116,1.0,0.0456973928174926,0.3750645950082497,0.5693360916965172,0.0,0.1049350281320435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722388.753231,4365883.24358,0.0,0.6105973081491908,1.0,0.2077937869111472,0.3949666928683095,0.6255399837571186,0.7949366715311373,0.018694629704903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722396.491043,4365883.25097,0.0,0.6093953683861357,1.0,0.2051906837318819,0.3932251976179371,0.6197446507886719,0.7890675612088462,0.0127225150513641,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722404.228933,4365883.25837,0.0,0.6095289101734375,1.0,0.2025864252827039,0.3914514757627987,0.613950025879569,0.7832197880594232,0.0090577961337594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722411.966745,4365883.26577,0.0,0.6095289101734375,1.0,0.1999833221034387,0.3896455273028937,0.6096033380749707,0.7774003777373489,0.0090577961337594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
